CODIGO;DENOMINACION;TIPOELEM;VIDRIO;ACABADO
PAV.0605.C.RB;PUERTA PA MONT PIVOT DOBLE CHAPA ROBLE + VIDRIO GRIS OSCURO;PIVOT DOBLE;GRIS OSCURO;CHAPA ROBLE
PAV.0605.C.NG;PUERTA PA MONT PIVOT DOBLE CHAPA NOGAL + VIDRIO GRIS OSCURO;PIVOT DOBLE;GRIS OSCURO;CHAPA NOGAL
;;;;
PAV.0701.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO TRANSPAR;PLEGAB;TRANSPAR;LACA BLANCO MAT 9003
PAV.0701.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO TRANSPAR;PLEGAB;TRANSPAR;LACA NEGRO MATE TEXT
PAV.0701.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO TRANSPAR;PLEGAB;TRANSPAR;LACADO CORTEN
PAV.0701.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO TRANSPAR;PLEGAB;TRANSPAR;CHAPA ROBLE
PAV.0701.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO TRANSPAR;PLEGAB;TRANSPAR;CHAPA NOGAL
PAV.0702.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO MATE ;PLEGAB;MATE ;LACA BLANCO MAT 9003
PAV.0702.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO MATE ;PLEGAB;MATE ;LACA NEGRO MATE TEXT
PAV.0702.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO MATE ;PLEGAB;MATE ;LACADO CORTEN
PAV.0702.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO MATE ;PLEGAB;MATE ;CHAPA ROBLE
PAV.0702.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO MATE ;PLEGAB;MATE ;CHAPA NOGAL
PAV.0703.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO BRONCE;PLEGAB;BRONCE;LACA BLANCO MAT 9003
PAV.0703.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO BRONCE;PLEGAB;BRONCE;LACA NEGRO MATE TEXT
PAV.0703.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO BRONCE;PLEGAB;BRONCE;LACADO CORTEN
PAV.0703.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO BRONCE;PLEGAB;BRONCE;CHAPA ROBLE
PAV.0703.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO BRONCE;PLEGAB;BRONCE;CHAPA NOGAL
PAV.0706.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO GRIS;PLEGAB;GRIS;LACA BLANCO MAT 9003
PAV.0706.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO GRIS;PLEGAB;GRIS;LACA NEGRO MATE TEXT
